	FPP	English	Sentiment
2616	δῐδασκᾰλος	a teacher, master	NULL
2617	δῐδῠμανωρ	touching both the men	NULL
2618	δῐδῠμαων	twin-brothers, twins	NULL
2619	διεγγυησις	a giving of bail	NULL
2620	διεκδῠσις	an evasion	NULL
2621	διεκπλους	a sailing across	NULL
2622	διεκροος	a passage for the stream to escape	NULL
2623	διελᾰσις	a driving through: a charge	NULL
2624	διεντερευμα	a looking through entrails	NULL
2625	διεξελᾰσις		NULL
2626	διεξοδος	a way out through, an outlet, passage, channel	NULL
2627	διερευνητης	a scout	NULL
2628	διερμηνευτης	an interpreter	NULL
2629	διετια	a space of two years	NULL
2630	διζυξ	double-yoked	NULL
2631	διηγησις	narrative, statement	NULL
2632	δῐθῠραμβογενης	Bacchus-born	NULL
2633	δῑθῠραμβοδῐδασκᾰλος	the dithyrambic poet who taught his own chorus	NULL
2634	δῑθυραμβος	the dithyramb;	NULL
2635	διθυρσον	a double thyrsus	NULL
2636	δῐκαιοκρῐσια	righteous judgment	NULL
2637	δῐκαιοπολις	strict in public faith	NULL
2638	δῐκαιοπρᾱγημα	a just	NULL
2639	δῐκαιοπρᾱγια	just	NULL
2640	δῐκαιοτης	righteousness, justice	NULL
2641	δῐκαιωμα	an act by which wrong is set right	NULL
2642	δῐκαιωσις	a setting right, doing justice to: punishment	NULL
2643	δῐκαιωτηριον	a house of correction	NULL
2644	δῐκασπολος	one who administers law, a judge	NULL
2645	δῐκαστηριον	a court of justice	NULL
2646	δῐκαστης	a judge	NULL
2647	δῐκαστρια	a she-judge	NULL
2648	δικελλα	a mattock, a two-pronged hoe	NULL
2649	δικελλιτης	a digger	NULL
2650	δικερως	two-horned	NULL
2651	δῐκη	custom, usage	NULL
2652	δῐκιδιον	a little trial	NULL
2653	δικλις	double-folding	NULL
2654	δῐκογρᾰφια	the composition of lawspeeches	NULL
2655	δῐκολογος	a pleader, advocate	NULL
2656	δῐκορρᾰφος	a pettifogger.	NULL
2657	δικρᾱνον	a pitch-fork	NULL
2658	δικτᾱτωρεια	the dictatorship	NULL
2659	δικτᾱτωρ	dictator	NULL
2660	δικτυνν	goddess of the chase	NULL
2661	δικτῠον	a casting-net, a net	NULL
2662	δικτυς		NULL
2663	δῐκωπια	a pair of sculls	NULL
2664	δῐλογια	repetition	NULL
2665	δῐμοιρια	a double share	NULL
2666	δινευμα	a whirling round	NULL
2667	δῑνη	a whirlpool, eddy	NULL
2668	δινος	a whirling, rotation	NULL
2669	διογενετωρ	giving birth to Zeus	NULL
2670	διοδος	a way through, thoroughfare, passage	NULL
2671	διοικησις	government, administration	NULL
2672	διοικισμος	a dispersion	NULL
2673	διοκωχη	a cessation	NULL
2674	δῐομειᾰλαζων	a braggart of the deme Diomeia	NULL
2675	δῐομηδης	Jove-counselled;	NULL
2676	διομολογησις	a convention	NULL
2677	δῐονῡσια	the feast of Dionysus	NULL
2678	δῐονῡσιας		NULL
2679	δῐωνυσος	Dionysus	NULL
2680	δῐοπαις	son of Zeus	NULL
2681	διοπος	a ruler, commander	NULL
2682	διοπτηρ	a spy, scout	NULL
2683	διοπτα	a looker through	NULL
2684	διοπτρα	an instrument for measuring heights, a Jacob's staff	NULL
2685	διορθωμα	a making straight, amendment	NULL
2686	διορθωσις	a making straight, restoration, reform	NULL
2687	διορθωτης	a corrector, reformer	NULL
2688	διορῐσις	distinction	NULL
2689	διορυγμα	a through-cut, canal	NULL
2690	δῐοσημια	a sign from Zeus, an omen from the sky	NULL
2691	δῐοσκορειον	the temple of the Dioscuri	NULL
2692	δῐοσκοροι	the sons of Zeus	NULL
2693	διπαις	with two children	NULL
2694	διπλαξ	twofold, double, in double folds	NULL
2695	διπλοις	a double cloak	NULL
2696	διπλωμα	a doubled	NULL
2697	διπλωσις	a compounding of words	NULL
2698	διποδα	two feet long, broad	NULL
2699	διπος	two-footed	NULL
2700	δισκημα	a thing thrown	NULL
2701	δισκοβολος	the quoit-thrower	NULL
2702	δισκος	a	NULL
2703	δισκουρα	a quoit's cast	NULL
2704	δισσαρχης	joint-ruling	NULL
2705	δῑφητωρ	a searcher	NULL
2706	διφθερα	a prepared hide, tanned skin, piece of leather	NULL
2707	διφθεριας	one clad in leather	NULL
2708	διφραξ	a seat, chair	NULL
2709	διφρεια	chariot-driving	NULL
2710	διφρευτης	a charioteer	NULL
2711	διφρηλατα	a charioteer	NULL
2712	διφροντις	divided in mind, distraught	NULL
2713	διφρος	the chariot-board	NULL
2714	δῐχαλκον	a double chalcos	NULL
2715	δῐχαστης	a divider	NULL
2716	δῐχογνωμων	divided between two opinions	NULL
2717	δῐχομηνια	the fullness of the moon	NULL
2718	δῐχονοια	discord, disagreement	NULL
2719	δῐχοστᾰσια	a standing apart, dissension	NULL
2720	διψᾰ	thirst	NULL
2721	διψας		NULL
2722	διψος		NULL
2723	δῐωβελια	the allowance of two obols	NULL
2724	διωγμα	a pursuit, chase	NULL
2725	διωγμος	the chase	NULL
2726	διωθισμος	a pushing about, a scuffle	NULL
2727	διωκτηρ	a pursuer	NULL
2728	διωμοσια	an oath taken by both parties before the trial came on	NULL
2729	διωξις	chase, pursuit	NULL
2730	διωρυξ	a trench, conduit, canal	NULL
2731	διωρῠχη	a digging through	NULL
2732	διωσις	a pushing off, delaying	NULL
2733	δμησις	a taming, breaking	NULL
2734	δμητηρ	a tamer	NULL
2735	δμωη	a female slave taken in war	NULL
2736	δμως	a slave taken in war	NULL
2737	δνοφος	darkness, dusk, gloom	NULL
2738	δογμα	that which seems to one, an opinion, dogma	NULL
2739	δοθῐην	a small abscess, boil	NULL
2740	δοιδῡκοποιος	a pestle-maker	NULL
2741	δοιδυξ	a pestle	NULL
2742	δοιη	doubt, perplexity	NULL
2743	δοκημα	a vision, fancy	NULL
2744	δοκη	a vision, fancy	NULL
2745	δοκησις	an opinion, belief, conceit, fancy	NULL
2746	δοκῐμᾰσια	an assay, examination, scrutiny	NULL
2747	δοκῐμαστης	an assayer, scrutineer	NULL
2748	δοκιμιον	a test, means of testing	NULL
2749	δοκῐμη	a proof, test: tried character	NULL
2750	δοκος	a bearing-beam	NULL
2751	δολῐοπους	stealthy of foot	NULL
2752	δολιοφρων	crafty of mind	NULL
2753	δολῐχογρᾰφια	prolix writing	NULL
2754	δολῐχος	the long course	NULL
2755	δολομητα	crafty of counsel, wily	NULL
2756	δολοπλοκια	subtlety, craft	NULL
2757	δολος	a bait	NULL
2758	δολοφροσυνη	craft, subtlety, wiliness	NULL
2759	δολωμα	a trick, deceit	NULL
2760	δολων	a secret weapon, poniard, stiletto	NULL
2761	δολωπις	artful-looking, treacherous	NULL
2762	δολωσις	a tricking	NULL
2763	δομη	a building.	NULL
2764	δομος	a house	NULL
2765	δονᾰκευς	a thicket of reeds	NULL
2766	δονᾰκιτις	of reed	NULL
2767	δοναξ	shaken by the wind	NULL
2768	δονημα	an agitation, waving	NULL
2769	δοξη	a notion	NULL
2770	δοξασμα	an opinion, notion, conjecture	NULL
2771	δοξοκοπια	thirst for popularity	NULL
2772	δοξομᾰνια	mad desire for fame	NULL
2773	δοξοσοφια	conceit of wisdom	NULL
2774	δορη	a skin, hide	NULL
2775	δορᾰτισμος	a fighting with spears	NULL
2776	δορῐκμης	slain by the spear	NULL
2777	δορῐμηστωρ	master of the spear	NULL
2778	δορκᾰλις	made of the vertebrae of an antelope	NULL
2779	δορξ	a kind of deer	NULL
2780	δορος	a leathern bag	NULL
2781	δορπηστος	supper-time, evening	NULL
2782	δορπιη	the eve	NULL
2783	δορπον	the evening meal	NULL
2784	δορυδρεπᾰνον	halbert	NULL
2785	δορυξενος	a spear-friend	NULL
2786	δορυξος	a maker of spears	NULL
2787	δορυ	a stem, tree	NULL
2788	δορυσσοης	of battle	NULL
2789	δορῠφορημα	a body of guards	NULL
2790	δορῠφορια	guard kept over	NULL
2791	δοσις	a giving	NULL
2792	δοτηρ	a giver, dispenser	NULL
2793	δουληιη	servitude, slavery, bondage	NULL
2794	δουλευμ	a service	NULL
2795	δουλοπρεπεια	a slavish spirit	NULL
2796	δωλος	a born bondman	NULL
2797	δουλοσυνη	slavery, slavish work	NULL
2798	δουλωσις	enslaving, subjugation	NULL
2799	δουπητωρ	a clatterer	NULL
2800	δουπος	any dead, heavy sound, a thud	NULL
2801	δουροδοκη	a case	NULL
2802	δοχηιον	a holder	NULL
2803	δοχη	a receptacle	NULL
2804	δοχμη	the space contained in a hand's breadth	NULL
2805	δραγμα	as much as one can grasp, a handful, truss	NULL
2806	δραγμος	a grasping	NULL
2807	δρακαινα	a shedragon	NULL
2808	δρᾰκοντολετης	serpent-slayer	NULL
2809	δρᾰκων	a dragon	NULL
2810	δραμ	a deed, act	NULL
2811	δρᾱμᾰτουργια	dramatic work, a drama	NULL
2812	δραμημ	a running, course, a race	NULL
2813	δραπετα	a runaway	NULL
2814	δρησμος	a running away, flight	NULL
2815	δραχμη	a handful	NULL
2816	δρεπανη	a sickle, reaping-hook	NULL
2817	δρεπᾰνον	a scythe	NULL
2818	δρεπᾰνουργος	a sword-maker, armourer	NULL
2819	δρησμοσυνη		NULL
2820	δρηστηρ	a labourer, working man	NULL
2821	δρηστοσυνη	service	NULL
2822	δρῑμυτης	pungency	NULL
2823	δριος	a copse, wood, thicket	NULL
2824	δροιτη	a bath	NULL
2825	δρομας	running	NULL
2826	δρομευς	a runner	NULL
2827	δρομοκηρυξ	a runner, postman	NULL
2828	δρομος	a course, running, race	NULL
2829	δροσος	dew	NULL
2830	δρῠας	a Dryad	NULL
2831	δρῡμος	an oak-coppice;	NULL
2832	δρῠοκοιτης	dweller on the oak	NULL
2833	δρῠοκολαπτης	the woodpecker	NULL
2834	δρυοχα	the props	NULL
2835	δρυοψ	woodpecker	NULL
2836	δρυππᾱ		NULL
2837	δρυς	a tree	NULL
2838	δρυς	a tree	NULL
2839	δρῠτομος	a wood-cutter	NULL
2840	δρυφακτος	a fence	NULL
2841	δρυψια	parings	NULL
2842	δρωπαξ	a pitch-plaster.	NULL
2843	δῠας	the number two	NULL
2844	δῡη	woe, misery, anguish, pain	NULL
2845	δῠνᾰμις	power, might, strength	NULL
2846	δῠνᾰσις		NULL
2847	δῠναστεια	power, lordship, sovereignty	NULL
2848	δυναστα	a lord, master, ruler	NULL
2849	δῠσαγων	having seen hard service	NULL
2850	δῠσαιων	living a hard life, most miserable	NULL
2851	δῠσᾰριστοτοκεια	unhappy mother of the noblest son	NULL
2852	δῠσαρμοστια	disagreement	NULL
2853	δῠσαυλια	ill	NULL
2854	δῠσβουλια	ill counsel	NULL
2855	δυσγαργᾰλις	very ticklish, skittish	NULL
2856	δυσγενει	low birth	NULL
2857	δυσγνοια	ignorance, doubt	NULL
2858	δυσγνωσια	difficulty of knowing	NULL
2859	δυσδαιμονια	misery	NULL
2860	δῠσελενα	ill-starred Helen	NULL
2861	δῠσελπις	hardly hoping, desponding	NULL
2862	δῠσεντερια	dysentery	NULL
2863	δῠσεργια	difficulty in acting	NULL
2864	δῠσερις	very quarrelsome, contentious	NULL
2865	δῠσερως	sick in love with	NULL
2866	δῠσευνητωρ	an ill bedfellow	NULL
2867	δῠσηρις		NULL
2868	δυσθῡμια	despondency, despair	NULL
2869	δυσις	a setting of the sun	NULL
2870	δυσκλεια	ill-fame, an ill name, infamy	NULL
2871	δυσκολια	discontent, peevishness	NULL
2872	δυσκρᾱσια	bad temperament	NULL
2873	δυσμᾰθια	slowness at learning	NULL
2874	δυσμενεια	ill-will, enmity	NULL
2875	δυσμη	setting	NULL
2876	δυσμητηρ	not a mother	NULL
2877	δυσμορια	a hard fate	NULL
2878	δυσμορφια	badness of form, ugliness	NULL
2879	δυσνοια	disaffection, ill-will, malevolence	NULL
2880	δυσνομιη	lawlessness, a bad constitution	NULL
2881	δῠσορνις	ill-omened, boding ill	NULL
2882	δῠσοσμια	an ill smell, ill savour	NULL
2883	δυσπαθεια	firmness in resisting	NULL
2884	δυσπᾰρις	unhappy Paris, ill-starred Paris	NULL
2885	δυσπλοια	difficulty of sailing	NULL
2886	δυσπνοια	difficulty of breathing	NULL
2887	δυσπορια	difficulty of passing	NULL
2888	δυσπραξια	ill success, ill luck	NULL
2889	δυσσεβεια	impiety, ungodliness	NULL
2890	δυσσεβια		NULL
2891	δυστοκευς	an unhappy parent	NULL
2892	δυστῠχημα	a piece of ill luck, a failure	NULL
2893	δυστῠχια	ill luck, ill fortune	NULL
2894	δυσφημια	ill language, words of ill omen	NULL
2895	δυσφορμιγξ	unsuited to the lyre	NULL
2896	δυσφρονη	troubles	NULL
2897	δυσφροσυνη	anxiety, care	NULL
2898	δυσχειρωμα	a thing hard to be subdued, a hard conquest	NULL
2899	δυσχερεια	annoyance	NULL
2900	δυσχλαινια	mean clothing	NULL
2901	δυσχωρια	difficult, rough ground	NULL
2902	δῠσωνης	one who beats down the price.	NULL
2903	δυτα	a diver	NULL
2904	δωδεκαδαρχος	a leader of twelve	NULL
2905	δωδεκαπαις	with twelve children	NULL
2906	δωδεκαπολις	formed of twelve united states	NULL
2907	δωδεκαρχης		NULL
2908	δωδεκας	the number twelve	NULL
2909	δωδεκετις	twelve years old	NULL
2910	δωδων	Dodona	NULL
2911	δω	a house	NULL
2912	δωματιον	a chamber, bed-chamber	NULL
2913	δωματιτις	of the house	NULL
2914	δωρεη	a gift, present	NULL
2915	δωρημ	that which is given, a gift, present	NULL
2916	δωρητηρ	a giver	NULL
2917	δωρῐευς	a Dorian, descendant of Dorus	NULL
2918	δωρις	Dorian	NULL
2919	δωροδοκημα	acceptance of a bribe, corruption	NULL
2920	δωροδοκια	a taking of bribes, openness to bribery	NULL
2921	δωροδοτης	a giver of presents, a giver	NULL
2922	δωρον	a gift, present	NULL
2923	δως		NULL
2924	δωσων	always going to give	NULL
2925	δωτ	a giver	NULL
2926	δωτῑνη	a gift, present	NULL
2927	δωτω	giver	NULL
2928	δωτωρ		NULL
2929	εᾱνος	fit for wearing	NULL
2930	ηρ	spring	NULL
2931	εβδομᾱγετης	sacrificed on the 7th of every month	NULL
2932	εβδομας	the number seven	NULL
2933	εβδομηκοντουτης	seventy years old	NULL
2934	εβενος	the ebony-tree, ebony	NULL
2935	εβραιος	a Hebrew	NULL
2936	εγγελαστης	a mocker, scorner	NULL
2937	εγγηρᾱμα	a comfort for old age	NULL
2938	εγγλωττογαστωρ	one who lives by his tongue	NULL
2939	εγγονος	a grandson, granddaughter	NULL
2940	εγγρᾰφη	a registering, registration	NULL
2941	εγγυη	a pledge put into the hand: surety, security	NULL
2942	εγγυησις	betrothed	NULL
2943	εγγυητης	one who gives security, a surety	NULL
2944	εγερσῐγελως	laughter-stirring	NULL
2945	εγερσῐμαχας	battle-stirring	NULL
2946	εγερσις	a waking	NULL
2947	εγκαινια	a feast of renovation	NULL
2948	εγκαλλωπισμα	an ornament, decoration	NULL
2949	εγκᾰλυμμος	a covering, wrapping up	NULL
2950	εγκᾰρος	the brain	NULL
2951	εγκαταληψις	a being caught in	NULL
2952	εγκᾰτα	the inwards, entrails, bowels	NULL
2953	εγκαυμα	a sore from burning	NULL
2954	εγκελευμα	an encouragement	NULL
2955	εγκεντρις	a sting	NULL
2956	εγκεφᾰλος	that which is within the head, the brain	NULL
2957	εγκλημ	an accusation, charge, complaint	NULL
2958	εγκοιτας	serving for a bed	NULL
2959	εγκοπευς	a tool for cutting stone, chisel	NULL
2960	εγκοπη	a hindrance	NULL
2961	εγκρατεια	mastery over	NULL
2962	εγκρῐσις	admission to the contest	NULL
2963	εγκρῠφιας	baked in the ashes	NULL
2964	εγκτημα	land held in a district	NULL
2965	εγκτησις	tenure of land in	NULL
2966	εγκυκλωσις	a surrounding	NULL
2967	εγρεμαχης	rousing the fight	NULL
2968	εγχειη	a spear, lance	NULL
2969	εγχειρημα	an undertaking, attempt	NULL
2970	εγχειρησις	a taking in hand, undertaking	NULL
2971	εγχειρητης	an undertaker, an adventurer	NULL
2972	εγχελυς	an eel	NULL
2973	εγχος	a spear, lance	NULL
2974	εγχουσα	alkanet	NULL
2975	εδᾰφος	the bottom, foundation, base	NULL
2976	εδεθλον	a seat, abode	NULL
2977	εδεσμα	meat	NULL
2978	εδεσθ	an eater	NULL
2979	εδητυς	meat, food	NULL
2980	εδνον	a wedding-gift	NULL
2981	εδνωτης	a betrother	NULL
2982	εδος	a sitting-place	NULL
2983	εδραιωμα	a foundation, base	NULL
2984	εδρᾰνον	a seat, abode	NULL
2985	εδρη	a sitting-place	NULL
2986	εδροστροφος	a wrestler who throws his adversary by a cross-buttock	NULL
2987	εδωδη	food, meat, victuals	NULL
2988	εδωλιον	a seat	NULL
2989	εθας	customary, accustomed to	NULL
2990	εθειρα	hair	NULL
2991	εθελοδουλεια	willing slavery	NULL
2992	εθελοθρησκεια	will-worship	NULL
2993	εθελοντηρ	a volunteer	NULL
2994	εθελοντ		NULL
2995	εθναρχης	an ethnarch	NULL
2996	εθνος	a number of people accustomed to live together, a company, body of men	NULL
2997	εθος	custom, habit	NULL
2998	ειᾰμενη	a river-side pasture, meadow	NULL
2999	ειδαρ	food	NULL
3000	ειδοι	Idus	NULL
3001	ειδοποιια	the specific nature of	NULL
3002	ειδος	that which is seen, form, shape, figure	NULL
3003	ειδυλλιον	a short descriptive poem	NULL
3004	ειδωλειον	an idol's temple	NULL
3005	ειδωλολατρεια	idolatry	NULL
3006	ειδωλολατρης	an idol-worshipper, idolater	NULL
3007	ειδωλον	an image, a phantom	NULL
3008	ειδωλοποιια	formation of images	NULL
3009	ειδωλοποιος	an image-maker	NULL
3010	εικᾰσια	a likeness, image	NULL
3011	εικασμα	a likeness, image	NULL
3012	εικασμος	a conjecturing	NULL
3013	εικας	the twentieth day of the month	NULL
3014	εικαστης	one who conjectures, a diviner	NULL
3015	εικοσας		NULL
3016	εικοσετης		NULL
3017	εικοστη		NULL
3018	εικοστολογος	one who collects the twentieth, a tax	NULL
3019	εικω	a likeness, image, portrait	NULL
3020	ειλᾰπῐναστης	a feaster, quest, boon-companion	NULL
3021	εῐλᾰπινη	a feast	NULL
3022	ειλαρ	a close covering, shelter, defence	NULL
3023	ειλαρχης	a commander of a troop of horse	NULL
3024	ειλειθυι	the readycomer	NULL
3025	ιλεος	a lurking-place, den, hole	NULL
3026	ειληθυια		NULL
3027	ειλα	the sun's heat	NULL
3028	ειλη	troops	NULL
3029	ειλησις	sun-heat, heat	NULL
3030	ειλιξ		NULL
3031	ειλιπος	rolling in their gait, with rolling walk	NULL
3032	ειλῡμα	a wrapper	NULL
3033	ειλῡος	a lurking place, den	NULL
3034	ειλως	a Helot	NULL
3035	ειλωτεια	the condition of a Helot	NULL
3036	ειμ	a garment	NULL
3037	εινας	the ninth day of the month	NULL
3038	εινατερες	sisters-in-law	NULL
3039	ειργμος	a cage, prison	NULL
3040	ειργμοφυλαξ	a gaoler	NULL
3041	ειρερος	bondage, slavery	NULL
3042	ειρεσιη	rowing	NULL
3043	ειρεσῐωνη	a harvest-wreath	NULL
3044	ειρηνη	peace, time of peace	NULL
3045	ειρηνοποιος	a peace-maker	NULL
3046	ειρηνοφυλαξ	a guardian of peace	NULL
3047	ιρην	a Lacedaemonian youth who had completed his 20th year	NULL
3048	ειρα	a place of assembly	NULL
3049	ερκτη	an inclosure, prison	NULL
3050	ειρος	wool	NULL
3051	ειρωνεια	dissimulation	NULL
3052	ειρων	a dissembler, one who says less than he thinks	NULL
3053	εσαγγελευς	one who announces, a gentleman usher	NULL
3054	εισαγγελια	an impeachment	NULL
3055	εισᾰγωγευς	one who brings cases into court	NULL
3056	εισᾰγωγη	importation	NULL
3057	εισβᾰσις	an entrance, means of entrance	NULL
3058	εσβολη	an inroad, invasion, attack	NULL
3059	εισδοχη	reception	NULL
3060	εισδρομη	an inroad, onslaught	NULL
3061	εισηγημα	a proposition, motion	NULL
3062	εσηγησις	a proposing, moving	NULL
3063	εσηγητας	one who brings in, a mover, author	NULL
3064	εισηλῠσια	a coming in, entrance	NULL
3065	εισιθμη	an entrance	NULL
3066	εσκομιδη	importation	NULL
3067	εσοδος	a way in, entrance	NULL
3068	εισοικησις	a place for dwelling in, a home	NULL
3069	εισοπτρις		NULL
3070	εσοπτρον	a mirror	NULL
3071	εισοχη	a hollow, recess	NULL
3072	εισοψις	a spectacle	NULL
3073	εσπλους	a sailing in	NULL
3074	εισπνηλας	one who inspires love, a lover	NULL
3075	εσπραξις	a getting in	NULL
3076	εσφορα	a gathering in	NULL
3077	εκαεργος	the far-working	NULL
3078	εκᾰτηβελετης		NULL
3079	εκᾰτα	Hecate, the far-darter	NULL
3080	εκατογκεφαλα	hundred-headed	NULL
3081	εκᾰτογχειρ	hundred-handed	NULL
3082	εκᾰτομβαιων	the month Hecatombaeon	NULL
3083	εκᾰτομβη	an offering of a hundred oxen, —	NULL
3084	εκᾰτομπολις	with a hundred cities	NULL
3085	εκᾰτομπους	hundred-footed	NULL
3086	εκᾰτονταετηρις	a term of	NULL
3087	εκᾰτονταρχης	leader of a hundred	NULL
3088	εκᾰτονταρχος		NULL
3089	εκᾰτοντας	a hundred	NULL
3090	εκᾰτοντουτης		NULL
3091	εκᾰτος	far-shooting	NULL
3092	εκᾰτοστυς		NULL
3093	εκβᾰσις	a way out, egress	NULL
3094	εκβοηθεια	a going out to aid, a sally	NULL
3095	εκβολη	a throwing out	NULL
3096	εκβρωμα	anything eaten out	NULL
3097	εκγενετα		NULL
3098	εκδεια	a falling short, being in arrear	NULL
3099	εκδεξις	a receiving from another: succession	NULL
3100	εκδημια	a being abroad, exile	NULL
3101	εκδῐαιτησις	change of habits	NULL
3102	εκδιδαγμα	prentice-work, a sampler	NULL
3103	εκδῐκαστης	an avenger	NULL
3104	εκδῐκησις	an avenging	NULL
3105	εκδοσις	a giving out	NULL
3106	εκδοχη	a receiving from another, succession	NULL
3107	εκδοχιον	a reservoir	NULL
3108	εκδρομη	a running out, sally, charge	NULL
3109	εκδρομος	one that sallies out	NULL
3110	εκδῡμα	that which is stript off, a skin, garment	NULL
3111	εκδῠσις	a getting out, way out	NULL
3112	εκεχειριᾱ	a holding of hands, a cessation of hostilities, armistice, truce	NULL
3113	εκηβολιη	skill in archery	NULL
3114	εκηκονταετια	a time of sixty years	NULL
3115	εκθεσις	a putting out, exposing	NULL
3116	εκθῠσις	atonement	NULL
3117	εκκαιδεκετης	16  years old	NULL
3118	εκκλησιᾱ	an assembly of the citizens regularly summoned, the legislative assembly	NULL
3119	εκκλησιαστης	a member of the	NULL
3120	εκκομῐδη	a carrying out	NULL
3121	εκκοπη	a cutting out	NULL
3122	εκκρουσις	a beating out, driving away	NULL
3123	εκκυκλημα	a theatrical machine	NULL
3124	εκλειψις	abandonment	NULL
3125	εκλησις	a forgetting and forgiving	NULL
3126	εκλογη	a picking out, choice, election	NULL
3127	εκλογισμος	a computation, calculation	NULL
3128	εκλῠσις	release	NULL
3129	εκμᾰγειον	that on	NULL
3130	εκμακτρον	an impress	NULL
3131	εκμαρτῠρια	the deposition of a witness	NULL
3132	εκπαιδευμ	a nursling, a child	NULL
3133	εκπεμψις	a sending out	NULL
3134	εκπερᾱμα	a coming out of	NULL
3135	εκπηδημα	for out-leap	NULL
3136	εκπληξις	consternation	NULL
3137	εκπλους	a sailing out, leaving port	NULL
3138	εκπνοη	a breathing out, expiring	NULL
3139	εκποιησις	a putting forth, emission	NULL
3140	εκπολεμωσις	a making hostile	NULL
3141	εκπομπη	a sending out	NULL
3142	εκπορθητωρ	a waster, destroyer	NULL
3143	εκπρησις	a setting on fire, inflaming	NULL
3144	εκπυρωσις	a conflagration	NULL
3145	εκπωμα	a drinking-cup, beaker	NULL
3146	εκροη	an issue	NULL
3147	εκρους	a flowing out, outflow, outfall	NULL
3148	εκστᾰσις	any displacement: entrancement, astonishment	NULL
3149	εκστρᾰτεια	a going out on service	NULL
3150	εκτᾰσις	extension	NULL
3151	εκτενεια	intensity, zeal, earnestness	NULL
3152	εκτημοροι	those who paid 1/6th of the produce	NULL
3153	εκτομη	a cutting out	NULL
3154	εκτομιας	a eunuch	NULL
3155	εκτομις	cutting down	NULL
3156	εκτροπη	a turning off	NULL
3157	εκτρωμα	a child untimely born, an abortion	NULL
3158	εκτυφλωσις	a making blind	NULL
3159	εκῠρα	a mother-in-law, step-mother	NULL
3160	εκῠρος	a father-in-law, step-father	NULL
3161	εκφᾰσις	a declaration	NULL
3162	εκφορα	a carrying out	NULL
3163	εκφοριον	payment on produce, rent, tithe	NULL
3164	εκφρᾰσις	a description	NULL
3165	εκχυτης	a spendthrift	NULL
3166	ελαα	the olive-tree	NULL
3167	ελαολογος	an olive-gatherer	NULL
3168	ελαιον	olive-oil	NULL
3169	ελαιοπωλης	an oil-merchant	NULL
3170	ελαιος	the wild olive	NULL
3171	ελας	an olive-tree	NULL
3172	ελαιων	an olive-yard	NULL
3173	ελας		NULL
3174	ελᾰσια	riding	NULL
3175	ελᾰσις	a driving away, banishing	NULL
3176	ελᾰτα	the silver fir, pinus picea	NULL
3177	ελᾰτηρ	a driver	NULL
3178	ελαττωμ	a disadvantage	NULL
3179	ελᾰφηβολια	a shooting of deer	NULL
3180	ελᾰφηβολιων	the Elaphebolia	NULL
3181	ελᾰφος	a deer	NULL
3182	ελᾰφοσσοια	deer-hunting	NULL
3183	ελαφρια	lightness: levity	NULL
3184	ελδωρ	a wish, longing, desire	NULL
3185	ελεας	a kind of owl	NULL
3186	ελεγεια	an elegy	NULL
3187	ελεγειον	a distich consisting of hexameter and pentameter, the metre of the elegy	NULL
3188	ελεγκτηρ	one who convicts	NULL
3189	ελεγμος		NULL
3190	ελεγξις	a conviction	NULL
3191	ελεγος	a song of mourning, a lament	NULL
3192	ελεγχειη	reproach, disgrace	NULL
3193	ελεγχος	a cross-examining, testing	NULL
3194	ελεγχος	a reproach, disgrace, dishonour	NULL
3195	ελεημοσυνη	pity, mercy: a charity, alms	NULL
3196	ελεητυς	pity, mercy	NULL
3197	ελειθυια		NULL
3198	ελειοβατης	walking the marsh, marsh-dwelling	NULL
3199	ελενας	ship-destroying	NULL
3200	ελεον	a kitchen-table, a board on which meat was cut up, a dresser	NULL
3201	ελεος	pity, mercy, compassion	NULL
3202	ελεπολις	city-destroying	NULL
3203	ελευθεριη	freedom, liberty	NULL
3204	ελευθεριοτης	the character of an	NULL
3205	ελευθεροπαις	having free children	NULL
3206	ελευθερωσις	a setting free	NULL
3207	ελευθερωτης	a liberator	NULL
3208	ελευσις	Eleusis, an old city of Attica	NULL
3209	ελευσις	a coming:—the Advent	NULL
3210	ελεφανταρχης	the commander of a squadron of elephants	NULL
3211	ελεφαντομᾰχια	a battle of elephants	NULL
3212	ελεφαντοπους	ivory-footed	NULL
3213	ελεφᾱς	the elephant	NULL
3214	ελιγμα	a curl, lock	NULL
3215	ελιγμος	a winding, convolution	NULL
3216	ελικωνιας	the dwellers on Helicon, the Muses	NULL
3217	ελῐκων	Helicon	NULL
3218	ελῐκωψ	with rolling eyes, quick-glancing	NULL
3219	ελιξ	twisted, curved	NULL
3220	ελιξ	anything which assumes a spiral shape	NULL
3221	ελιχρῡσος	a creeping plant with yellow flower	NULL
3222	ελκεχιτων	trailing the tunic, with long tunic	NULL
3223	ελκηθμος	a being carried off, violence suffered	NULL
3224	ελκημα	that which is torn in pieces, a prey	NULL
3225	ελκητηρ	one that drags	NULL
3226	ελκος	a wound	NULL
3227	ελκυδριον	a slight sore	NULL
3228	ελκωσις	ulceration	NULL
3229	ελλᾱνοδικαι	the chief judges at the Olympic games	NULL
3230	ελλᾰς	Hellas	NULL
3231	ελλεβορος	hellebore	NULL
3232	ελλεδᾰνος	the band for binding corn-sheaves	NULL
3233	ελληνις	a Grecian woman	NULL
3234	ελληνιστης	one who uses the Greek language;	NULL
3235	ελληνοτᾰμιαι	the stewards of Greece	NULL
3236	ελλην	Hellen	NULL
