	FPP	English	Sentiment
657	αφυκτως	not to be shunned, from which none escape	NULL
658	αφυλακτως	unguarded, unwatched	NULL
659	αφωνως	voiceless, speechless, dumb, silent	NULL
660	αχαρακωτως	not palisaded	NULL
661	αχαριστως	ungracious, unpleasant, unpleasing	NULL
662	αχαριτως	ungrateful, thankless	NULL
663	αχθεινως	burdensome, oppressive, wearisome	NULL
664	αχρειως	useless, unprofitable, good for nothing	NULL
665	αχρηστως	useless, unprofitable, unserviceable	NULL
666	αχρι	to the uttermost, utterly	NULL
667	αχρως	colourless	NULL
668	αψεγεως	unblamed, blameless	NULL
669	αψευδεως	without lie and deceit, truthful, sincere, trusty	NULL
670	αψ	backwards, back, back again	NULL
671	αψυχοτατα	lifeless, inanimate	NULL
672	αωρι	at an untimely hour, too early	NULL
673	αωρως	untimely, unseasonable	NULL
674	αωρως	pendulous, waving about	NULL
675	βαδην	step by step	NULL
676	βαθεως		NULL
677	βαθυγηρως	in great old age, decrepit	NULL
678	βαθεως	deep	NULL
679	βαιοτερον	little, small, scanty	NULL
680	βαλληνᾰδε		NULL
681	βαρβαρικως	barbaric, foreign, like a foreigner	NULL
682	βαρβαρως	barbarous	NULL
683	βαρυαλγητως	very grievous	NULL
684	βαρεως	heavy	NULL
685	βαρυστονως	groaning heavily, bellowing	NULL
686	βαρυτονως	deep-sounding	NULL
687	βασιλικως	royal, kingly	NULL
688	βασκανως	slanderous, envious, malignant	NULL
689	βδελυρως	loathsome, disgusting, brutal	NULL
690	βεβαιως	firm, steady, steadfast, sure, certain	NULL
691	βεβουλευμενως	advisedly, designedly	NULL
692	βελτιστως	best	NULL
693	βελτῑονως	better	NULL
694	βενθοσδε	the depth	NULL
695	βη	baa	NULL
696	βιαιως	forcible, violent	NULL
697	βλαβερως	hurtful, noxious, disadvantageous	NULL
698	βλακικως	lazy, stupid	NULL
699	βλασφημως	evil-speaking	NULL
700	βοστρῠχηδον	like curls	NULL
701	βοτρῡδον	like a bunch of grapes, in clusters	NULL
702	βουκερως	horned like an ox	NULL
703	βουλιωτερον	sage	NULL
704	βουλῡτονδε	towards even, at eventide	NULL
705	βραδεως	slow	NULL
706	βραχυγνωμονεστερα	of small understanding	NULL
707	βραχεως	short	NULL
708	βριαρως	strong, stout	NULL
709	βριθεως	weighty, heavy	NULL
710	βροτειως	mortal, human, of mortal mould	NULL
711	βρῡχηδον	with gnashing of teeth	NULL
712	βυζην	close pressed, closely	NULL
713	βυσσοθεν	from the bottom	NULL
714	γαδειραθεν	from Cadiz	NULL
715	γαμικως	of	NULL
716	γαυροτατα	exulting in	NULL
717	γεγωνως	loud-sounding	NULL
718	γελοιως	causing laughter, laughable	NULL
719	γενεηφιν	race, stock, family	NULL
720	γενεηθεν	from birth, by descent	NULL
721	γενναιοπρεπως	befitting a noble	NULL
722	γενναιως	suitable to one's birth	NULL
723	γεννικως	noble	NULL
724	γεωμετρικως	of	NULL
725	γηθεν	out of	NULL
726	γηινως	of earth	NULL
727	γλαυκοτερον	gleaming, silvery	NULL
728	γλαφυρως	hollow, hollowed	NULL
729	γλισχρως	glutinous, sticky, clammy	NULL
730	γλυκεως	sweet	NULL
731	γνησιως	of	NULL
732	γνυξ	with bent knee	NULL
733	γνωριμως	well-known, familiar	NULL
734	γοργως	grim, fierce, terrible	NULL
735	γραμματικως	knowing one's letters, well grounded in the rudiments, a grammarian	NULL
736	γυμναστικως	fond of athletic exercises, skilled in them	NULL
737	γυναικειως	of	NULL
738	δαιμονιως	of	NULL
739	δαιως	battle	NULL
740	δαιτηθεν	from a feast	NULL
741	δανοτατα	burnt, dry, parched	NULL
742	δασεως	thick with hair, hairy, shaggy, rough	NULL
743	δαψιλως	abundant, plentiful	NULL
744	δειλαιοτατα	wretched, sorry, paltry	NULL
745	δειλως	cowardly, craven	NULL
746	δεινως	fearful, terrible, dread, dire	NULL
747	δειπνητικως	of	NULL
748	δεκακις	ten-times	NULL
749	δεκᾰπᾰλαι	very long ago	NULL
750	δεκελεηθεν	from Deceleia	NULL
751	δεξιως	on the right hand	NULL
752	δεσποτικως	of	NULL
753	δευρ	hither	NULL
754	δευτ	hither! come on! come here!	NULL
755	δευτερως	second	NULL
756	δηθ	for a long time	NULL
757	δηθεν	really, in very truth	NULL
758	δηλᾰδη	quite clearly, manifestly	NULL
759	δηλονοτ	quite clearly, manifestly, plainly	NULL
760	δηλως	visible, conspicuous	NULL
761	δημιουργικως	of	NULL
762	δημοθεν	at the public cost	NULL
763	δημοκρατικως	of	NULL
764	δημοσι		NULL
765	δημοτικως	of	NULL
766	δην	long, for a long while	NULL
767	δητ	certainly, to be sure, of course	NULL
768	διαβολως	slanderous, backbiting	NULL
769	διακενης	in vain, idly, to no purpose	NULL
770	διακενως	quite empty	NULL
771	διακρῐδον	eminently, above all	NULL
772	διαλεκτικως	skilled in logical argument	NULL
773	διαμελειστι	limb by limb, limb-meal	NULL
774	διαμπαξ	right through, through and through	NULL
775	διαμπερες	through and through, right through, clean through	NULL
776	διανδιχ	two ways	NULL
777	διαπαντος	throughout.	NULL
778	διαπρεπως	eminent, distinguished, illustrious	NULL
779	διαπρυσιως	going through, piercing	NULL
780	διαρκεστατα	quite sufficient	NULL
781	διαρρηδην	expressly, distinctly, explicitly	NULL
782	διαρρυδην	flowing away, vanishing	NULL
783	διασημοτατα	clear, distinct	NULL
784	διαστατικως	separative, causing discord	NULL
785	διατρῐχα	in three divisions, three ways	NULL
786	διαφανως	seen through, transparent	NULL
787	διαφεροντως	differently from, at odds with	NULL
788	διαφορως	different, unlike	NULL
789	διαφωνως	discordant	NULL
790	διδασκαλικως	fit for teaching, capable of giving instruction, instructive	NULL
791	διειλημμενως	distinctly	NULL
792	διεξοδικως	detailed	NULL
793	διεσκεμμενως	prudently	NULL
794	διεψευσμενως	altogether falsely	NULL
795	διηνεκως	continuous, unbroken	NULL
796	δικαιως	observant of custom and social rule, well-ordered, civilised	NULL
797	δικερως	two-horned	NULL
798	δῐμνεως	worth	NULL
799	δῐοθεν	sent from Zeus, by his will	NULL
800	διπλασιως	twofold, double, twice as much as, twice as many as, as long as	NULL
801	διπλη	twice, twice over	NULL
802	δῐς	twice, doubly	NULL
803	διττως	two-fold, double	NULL
804	δισυλλαβως	of two syllables	NULL
805	διχ	in two, asunder	NULL
806	δῐχη	in two, asunder	NULL
807	διχθα	in twain	NULL
808	δῐχοθεν	from both sides, both ways	NULL
809	διχορροπως	oscillating	NULL
810	δῐχως	doubly, in two ways	NULL
811	δοιω		NULL
812	δοκιμως	assayed, examined, tested	NULL
813	δολερως	deceitful, deceptive, treacherous	NULL
814	δολιως	crafty, deceitful, treacherous	NULL
815	δομονδε	home, homeward	NULL
816	δουλικως	of	NULL
817	δραπετικως	of	NULL
818	δριμεως	piercing, sharp, keen	NULL
819	δρομικως	good at running, swift, fleet	NULL
820	δυνατως	strong, mighty, able	NULL
821	δυσαπαλλακτοτερον	hard to get rid of	NULL
822	δυσγενεστερον	low-born	NULL
823	δυσεκλυτως	hard to undo	NULL
824	δυσελπιστως	unhoped for	NULL
825	δυσεργοτερον	unfit for work	NULL
826	δυσζηλως	exceeding jealous	NULL
827	δυσθυμως	desponding, melancholy, repentant	NULL
828	δυσκαταμαθητως	hard to learn	NULL
829	δυσκαταστατωτερον	hard to restore	NULL
830	δυσκινητως	hard to move	NULL
831	δυσκλεως	infamous, shameful	NULL
832	δυσκολως	hard to satisfy with food;	NULL
833	δυσκριτως	hard to discern	NULL
834	δυσλοφως	hard for the neck, hard to bear	NULL
835	δυσλυτως	indissoluble	NULL
836	δυσμαθως	hard to learn	NULL
837	δυσμαχωτερον	hard to fight with, unconquerable	NULL
838	δυσμενως	full of ill-will, hostile	NULL
839	δυσμορως	ill-fated, ill-starred	NULL
840	δυσνως	ill-affected, disaffected	NULL
841	δυσπαλαμως	hard to conquer	NULL
842	δυσπειθως	hardly obeying, self-willed, intractable	NULL
843	δυσπειστως		NULL
844	δυσπετως	falling out ill, most difficult	NULL
845	δυσπολιορκητοτερον	hard to take by siege	NULL
846	δυσποτμως	unlucky, ill-starred, unhappy, wretched	NULL
847	δυσσεβως	ungodly, impious, profane	NULL
848	δυστραπελως	hard to deal with, intractable, stubborn	NULL
849	δυστυχως	unlucky, unfortunate	NULL
850	δυσφορως	hard to bear, heavy	NULL
851	δυσφρονως	rashly	NULL
852	δυσφρονως	sad at heart, sorrowful, melancholy	NULL
853	δυσχερως	hard to take in hand	NULL
854	δυσχρηστως	hard to use, nearly useless	NULL
855	δωδεκακις	twelve times	NULL
856	δωδεκαπᾰλαι	twelve times long ago, ever so long ago	NULL
857	δωρεην	a gift, present	NULL
858	δωρικως	Doric	NULL
859	δωριστι	in Dorian fashion	NULL
860	δωροδοκιστι	in bribe-fashion	NULL
861	εαρινως	spring-	NULL
862	εβραιστι	Hebrew tongue	NULL
863	εγγενως	inborn, native	NULL
864	γγυθεν	from nigh at hand	NULL
865	εγγυθι	hard by, near	NULL
866	εγγῠς	near, nigh, at hand	NULL
867	εγερτι	eagerly, busily	NULL
868	εγκλῐδον	leaning, bent down	NULL
869	εγκρατως	in possession of power	NULL
870	εγρηγορτι	awake, watching	NULL
871	εδραιως	sitting, sedentary	NULL
872	εθελοκακως	wilfully bad	NULL
873	εθελοντηδον	voluntarily	NULL
874	εθελοντην	voluntarily	NULL
875	εθελοντ		NULL
876	εθελουσιως	voluntary	NULL
877	εθνικως	foreign, heathen, gentile	NULL
878	ειδοτως	knowingly	NULL
879	ειθαρ	at once, forthwith	NULL
880	εικαιως	random, purposeless	NULL
881	εικη	without plan	NULL
882	εικονικως	counterfeited, pretended	NULL
883	εικοσακις	twenty times	NULL
884	εικοτως	in all likelihood, suitably, fairly, reasonably, naturally	NULL
885	ειλαδον		NULL
886	ειληδον	by twisting round	NULL
887	ειλικρινως	unmixed, without alloy, pure	NULL
888	εινανῠχες	nine nights long	NULL
889	ειποτ	if ever	NULL
890	ειπου	if anywhere, if at all	NULL
891	ειρηναιως	peaceful, peaceable	NULL
892	ειρηνικως	of	NULL
893	ειρωνικως	dissembling, putting on a feigned ignorance	NULL
894	εισᾰει	for ever	NULL
895	εσαντα	right opposite	NULL
896	εσαπαξ	at once, once for all	NULL
897	εσαυθις	hereafter, afterwards	NULL
898	εισαυριον	on the morrow	NULL
899	εισεπειτα	for hereafter	NULL
900	εισετι	still yet	NULL
901	εισοκ	until	NULL
902	εισοπισω	in time to come, hereafter	NULL
903	εισω	to within, into	NULL
904	κατ	then, next	NULL
905	κατ		NULL
906	ειωθοτως	in customary wise, as usual	NULL
907	εκᾰθεν	from afar	NULL
908	εκᾰς	far, afar, far off	NULL
909	εκαστᾰχοθεν	from each side	NULL
910	εκαστᾰχοθι	on each side	NULL
911	εκαστᾰχοι	to each side, every way	NULL
912	εκαστᾰχοσε	to each side	NULL
913	εκαστᾰχου	everywhere	NULL
914	εκαστοθ	for each	NULL
915	εκαστοτ	each time, on each occasion	NULL
916	εκᾰτερακις	at each time	NULL
917	εκατερθ	on each side, on either hand	NULL
918	εκᾰτερως	each of two, either, each singly	NULL
919	εκᾰτερωθεν	on each side, on either hand	NULL
920	εκᾰτερωθι	on each side	NULL
921	εκατερως	to each side, each way, both ways	NULL
922	εκδηλοτατα	conspicuous	NULL
923	εκδικως	without law, lawless, unjust	NULL
924	κειθεν	from that place, thence	NULL
925	κειθ		NULL
926	εκει	there, in that place	NULL
927	κεις	thither, to that place	NULL
928	εκητ	by means of, by virtue of, by the aid of	NULL
929	εκθυμως	out of one's mind, senseless	NULL
930	εκκεχῠμενως	profusely	NULL
931	εκλελῠμενως	loosely, carelessly	NULL
932	εκλυτως	easy to let go, light, buoyant	NULL
933	εκνομιως	unusual, marvellous	NULL
934	εκνομως	outlawed	NULL
935	εκοντ	willingly	NULL
936	εκουσιως	voluntary	NULL
937	εκπαγλως	terrible, fearful	NULL
938	εκπατιως	out of the common path: excessive, vehement	NULL
939	εκπεπληγμενως	in panic fear	NULL
940	εκπεπτᾰμενως	extravagantly	NULL
941	εκπερισσως	more exceedingly	NULL
942	εκπερῠσι	more than a year ago	NULL
943	εκπλεως	quite full	NULL
944	εκπληκτικως	striking with consternation, astounding	NULL
945	κποδων	away from the feet	NULL
946	εκπρεπως	distinguished out of all, preeminent, remarkable	NULL
947	εκστατικως	inclined to depart from	NULL
948	εκτᾰδην	outstretched	NULL
949	εκτενως	intense, zealous, instant	NULL
950	εκτοθεν	from without, outside	NULL
951	εκτοθι	out of, outside	NULL
952	εκτοπως	away from a place, away from	NULL
953	εκτοσε	outwards	NULL
954	εκτοσθε	outside	NULL
955	εκτος	outside	NULL
956	εκφανως	shewing itself, manifest	NULL
957	εκφατως	beyond power of speech	NULL
958	ελαττονως	smaller, less	NULL
959	ελαφρως	lightly, buoyantly	NULL
960	ελαχιστως	the smallest, least	NULL
961	ελεγκτικως	fond of cross-questioning	NULL
962	ελεινως	finding pity, pitied	NULL
963	ελεον	piteously	NULL
964	ελευθεριως	speaking	NULL
965	ελευθεροπρεπως	worthy of a freeman	NULL
966	ελευθερως	free	NULL
967	ελευσιναδε	to Eleusis	NULL
968	ελευσινι	at Eleusis	NULL
969	ελευσῑνοθεν	from Eleusis	NULL
970	ελιγδην	whirling, rolling	NULL
971	ελκηδον	by dragging	NULL
972	ελληνικως	Hellenic, Greek	NULL
973	ελληνιστι	in Greek fashion	NULL
974	ελλιπεστερον	wanting, lacking, defective	NULL
975	καλλως		NULL
976	εμβᾰδον	on foot, by land	NULL
977	εμβρᾰχυ	in brief, shortly	NULL
978	εμβριθεστερον	weighty	NULL
979	εμμανεστερον	in madness, frantic, raving	NULL
980	εμμᾰπεως	quickly, readily, hastily	NULL
981	εμμελως	sounding in unison, in tune	NULL
982	εμμενεως	abiding in	NULL
983	εμμετρως	in measure, proportioned, suitable, moderate	NULL
984	εμως	mine	NULL
985	εμπαθως	in a state of emotion, much affected by	NULL
986	εμπᾰλῐ	backwards, back	NULL
987	εμπᾰ	notwithstanding, nevertheless	NULL
988	εμπεδα		NULL
989	εμπεδως	in the ground, firm-set, steadfast	NULL
990	εμπειρως	experienced	NULL
991	εμπελᾰδον	near, hard by	NULL
992	εμπεραμως	skilled in the use of	NULL
993	εμπλεως	quite full of	NULL
994	εμπληγδην	madly, rashly	NULL
995	εμπληκτως	stunned, amazed, stupefied	NULL
996	εμπλην	near, next, close by	NULL
997	εμποδων	at the feet, in the way, in one's path	NULL
998	εμπορικως	commercial, mercantile	NULL
999	εμπροθεν		NULL
1000	εμπροσθε	before, in front	NULL
1001	εμφανως	shewing in	NULL
1002	εμφερως	answering to, resembling	NULL
1003	εμφοβως	terrible	NULL
1004	εμφρονως	in one's mind	NULL
1005	εμψυχοτατα	having life in one, alive, living	NULL
1006	εναγχος	just now, lately	NULL
1007	εναιμως	with blood in one	NULL
1008	εναισιμως	ominous, boding, fateful	NULL
1009	ενᾰκις	nine times	NULL
1010	εναλλαξ	crosswise	NULL
1011	εναμιλλως	engaged in equal contest with, a match for	NULL
1012	εναντα	opposite, over against, face to face	NULL
1013	εναντιον		NULL
1014	εναντιως	opposite	NULL
1015	εναντι	in the presence of	NULL
1016	εναργως	visible, palpable, in bodily shape	NULL
1017	ενδεως	in need of	NULL
1018	ενδελεχως	continuous, perpetual	NULL
1019	ενδεχομενως	as far as possible	NULL
1020	ενδεως		NULL
1021	ενδηλοτατα	visible, manifest, clear	NULL
1022	ενδικως	according to right, right, just, legitimate	NULL
1023	ενδοθεν	from within	NULL
1024	ενδοθι	within, at home	NULL
1025	ενδοιασιμως	doubtful	NULL
1026	ενδοιαστως	doubtful, ambiguous	NULL
1027	ενδοι		NULL
1028	νδον	in, within, in the house, at home	NULL
1029	ενδοξως	held in esteem	NULL
1030	ενδοτερω	quite within	NULL
1031	ενδῠκεως	thoughtfully, carefully, sedulously	NULL
1032	ενεργως	productive	NULL
1033	ενεργως	at work, working, active, busy	NULL
1034	ενερευθεστερον	somewhat ruddy	NULL
1035	νθαδ	thither, hither	NULL
1036	νθαδ		NULL
1037	ενθᾰπερ	there where, where	NULL
1038	ενθ	there	NULL
1039	ενθενδ	hence, from this quarter	NULL
1040	ενθεν	on the one side	NULL
1041	ενθεως	full of the god, inspired, possessed	NULL
1042	ενθουσιαστικως	inspired	NULL
1043	ενθουσιωδως	possessed	NULL
1044	ενῐᾰχη	in some places	NULL
1045	ενῐᾰχου	in some places, here and there, now and then	NULL
1046	ενιοτ	sometimes	NULL
1047	εννακις	nine times	NULL
1048	εννημαρ	for nine days	NULL
1049	εννομως	within the law, lawful, legal	NULL
1050	εννυχα		NULL
1051	νταυθ	here, there	NULL
1052	ενταυθοι	hither, here	NULL
1053	εντελως	complete, full	NULL
1054	εντετᾰμενως	vehemently, vigorously	NULL
1055	εντευθενι		NULL
1056	ντευθεν	hence	NULL
1057	εντεχνως	within the province of art, artificial, artistic	NULL
1058	εντιμως	in honour, honoured, prized	NULL
1059	εντονως	well-strung, sinewy	NULL
1060	εντοσθ	from within	NULL
1061	εντος	within, inside	NULL
1062	εντῠπας	as to shew his limbs	NULL
1063	ενυδρως	with water in it, holding water	NULL
1064	ενωπᾰδιως	in one's face, to one's face	NULL
1065	ενωπα	the face, countenance	NULL
1066	εξαιρετως	that can be taken out, removable	NULL
1067	εξᾰπῐνας	on a sudden	NULL
1068	εξακι	six times	NULL
1069	εξαναφανδον	all openly	NULL
1070	εξαπιναιως	sudden, unexpected.	NULL
1071	εξαπῐνᾰ		NULL
1072	εξᾰπῐνης		NULL
1073	εξαρκουντως	enough, sufficiently	NULL
1074	εξαυτης	at the very point of time, at once	NULL
1075	εξαυτις	over again, once more, anew	NULL
1076	εξᾰχως	holding six	NULL
1077	εξειης		NULL
1078	εξειργασμενως	carefully, accurately, fully	NULL
1079	εξεπιτηδες	of set purpose	NULL
1080	εξεταστικως	capable of examining into	NULL
1081	εξηγητικως	of	NULL
1082	εξημαρ	for six days, six days long	NULL
1083	εξης	one after another, in order, in a row	NULL
1084	εξονομακληδην	by name, calling by name	NULL
1085	εξοπῐθε	behind, in rear	NULL
1086	εξοπιν		NULL
1087	εξοπισθ		NULL
1088	εξοπῐσω	backwards, back again	NULL
1089	εξοτ	from the time when	NULL
1090	εξοχ	standing out	NULL
1091	εξυπερθ	from above	NULL
1092	ξωθεν	from without	NULL
1093	εξωλεστερον	utterly destroyed	NULL
1094	ξω	out	NULL
1095	εξωτατω	outermost	NULL
1096	εξωτερω	more outside	NULL
1097	οικοτως	similarly, like	NULL
1098	εως	his, her own	NULL
1099	επαγωγοτατα	attractive, tempting, alluring, seductive	NULL
1100	επαινετωτερον	to be praised, laudable	NULL
1101	επαλλαξ		NULL
1102	επᾰμοιβᾰδις	interchangeably	NULL
1103	επαναβληδον	thrown over	NULL
1104	επανωθε	from above, above	NULL
1105	επανω	above, atop, on the upper side	NULL
1106	επαξιως	worthy, deserving of	NULL
1107	επαριστερως	towards the left, on the left hand	NULL
1108	επαρκουντως	sufficiently	NULL
1109	επαχθως	heavy, ponderous	NULL
1110	επεῐη	since in truth	NULL
1111	επειτ	thereupon	NULL
1112	επεκεινα	on yonder side, beyond	NULL
1113	επεμβᾰδον	step upon step, ascending	NULL
1114	επεξης		NULL
1115	επιβουλως	plotting against	NULL
1116	επιγραβδην	scraping the surface, grazing	NULL
1117	επιδεως	in want of	NULL
1118	επιδεικτικως	fit for displaying	NULL
1119	επιδεξιως	towards the right	NULL
1120	επιδηλως	seen clearly, manifest	NULL
1121	επιεικως	fitting, meet, suitable	NULL
1122	επιζαφελως	vehement, violent	NULL
1123	επιθανατως	sick to death, at death's door	NULL
1124	επιθετικως	ready to attack	NULL
1125	επιθετως	added, assumed	NULL
1126	επιθυμητικως	desiring, coveting, lusting after	NULL
1127	επικαιριως	important	NULL
1128	επικαιρως	in fit time	NULL
1129	επικαρ	head-foremost	NULL
1130	επικηρως	subject to death, perishable	NULL
1131	επικινδυνως	in danger, dangerous, insecure, precarious	NULL
1132	επικλην	by surname, by name	NULL
1133	επικλοπωτερον	thievish, wily	NULL
1134	επικοτως	wrathful, vengeful	NULL
1135	επικρατεως	master of	NULL
1136	επιλιγδην	grazing	NULL
1137	επιμαχωτατα	easily attacked, assailable	NULL
1138	επιμελως	careful	NULL
1139	επιμηθεως	thoughtful	NULL
1140	επιμηθικως	like Epimetheus	NULL
1141	επιμιξ	confusedly, promiscuously, pele-mele	NULL
1142	επιορκως	sworn falsely	NULL
1143	επιπαγχῠ	altogether	NULL
1144	επιπαν	upon the whole, in general, on the average	NULL
1145	επιπεδως	to the level of the ground, level	NULL
1146	επιπλεως	quite full of	NULL
1147	επιπλεως		NULL
1148	επιπολαιως	on the surface, superficial	NULL
1149	επιπολυ	to a great extent, generally	NULL
1150	επιπονως	painful, toilsome, laborious	NULL
1151	επιπροσθε	before	NULL
1152	επιρροιβδην	with noisy fury	NULL
1153	επισημως	having a mark on	NULL
1154	επισης		NULL
1155	επισμυγερως	gloomy	NULL
1156	επισπερχως	hasty, hurried	NULL
1157	επιστᾰδον	standing over each in turn	NULL
1158	επιστημονως	knowing, wise, prudent	NULL
1159	επιστολαδην	girt up, neatly	NULL
1160	επιστρεφως	turning one's eyes	NULL
1161	επιστροφαδην	turning this way and that way, right and left	NULL
1162	επιστροφως	having dealings with, conversant with	NULL
1163	επισφαλως	prone to fall, unstable, precarious	NULL
1164	επισχεδον	near at hand, hard by	NULL
1165	επισχερω	in a row, one after another	NULL
1166	επιτερπως	pleasing, delightful	NULL
1167	επιτηδεως	made for an end	NULL
1168	πιτηδες	designedly, deceitfully	NULL
1169	πιτηδες	such as may serve the purpose, enough	NULL
1170	επιτηδεως		NULL
1171	επιτροχαδη	trippingly, fluently, glibly	NULL
1172	επιτροχωτερον	voluble, glib	NULL
1173	επιφανως	coming to light, appearing	NULL
1174	επιφθονως	liable to envy	NULL
1175	επιφοβως	frightful, terrible	NULL
1176	επιφορως	carrying towards	NULL
1177	επιχαριτως	pleasing, agreeable, charming	NULL
1178	επιχαρτως	wherein one feels joy, delightsome	NULL
1179	επιχωριως	in	NULL
1180	αποικ-τως	piteous	NULL
1181	επονειδιστως	to be reproached, shameful, ignominious	NULL
1182	εποποι	hoopoe	NULL
1183	επταδραχμως	worth seven	NULL
1184	επτακι	seven times	NULL
1185	επτᾰχᾰ	in seven parts	NULL
1186	επωμᾰδον	on the shoulder	NULL
1187	επωνυμως	given as a name	NULL
1188	εραζ	to earth, to the ground	NULL
1189	εργωδεστερον	irksome, troublesome	NULL
1190	ερεβοθεν	from nether gloom	NULL
1191	ερεβοσδε	to	NULL
1192	ερημοτερον	desolate, lone, lonely, lonesome, solitary	NULL
1193	ερῑνεως	of wool, woollen	NULL
1194	εριοπωλικως	like a wool-dealer, roguishly	NULL
1195	ερρωμενως	in good health, stout, vigorous	NULL
1196	ερυθροτερον	red	NULL
1197	ερυμνοτερως	fenced, fortified	NULL
1198	ερωτικως	amatory	NULL
1199	εσαει	for ever	NULL
1200	εσκεμμενος	deliberately	NULL
1201	εσπεριωτατα	at even, at eventide	NULL
1202	εσσῠμενως	hurrying, vehement, eager, impetuous	NULL
1203	εστᾰοτως	on one's feet	NULL
1204	εσφαλμενως	erringly, amiss	NULL
1205	εσχατως	outermost	NULL
1206	εσωθε	from within	NULL
1207	εταιρικως	of	NULL
1208	ετεον	true, real, genuine	NULL
1209	ετεραλκεως	giving strength to one of two	NULL
1210	ετεροζηλως	zealous for one side, leaning to one side	NULL
1211	ετερως	one of the	NULL
1212	ετερωθε	from the other side	NULL
1213	ετερωθι	on the other side	NULL
1214	ετερως	to the other side	NULL
1215	ετερως	in one	NULL
1216	ετητυμως	true	NULL
1217	εθ	yet, as yet, still	NULL
1218	ετοιμως	at hand, ready, prepared	NULL
1219	ετος	without reason, for nothing	NULL
1220	ετυμως	true, real, actual	NULL
1221	ετωσιως	fruitless, useless, unprofitable	NULL
1222	ευαγως	free from pollution, guiltless, pure, undefiled	NULL
1223	ευαγως	moving well, nimble	NULL
1224	ευαγως	bright, far-seen, conspicuous	NULL
1225	ευανακλητως	easy to call out	NULL
1226	ευαρεστως	well-pleasing, acceptable	NULL
1227	ευαρμοστως	well-joined, harmonious	NULL
1228	ευαφως	touching gently	NULL
1229	ευβατωτερον	accessible, passable	NULL
1230	ευβολως	throwing luckily	NULL
1231	ευβουλως	well-advised, prudent	NULL
1232	ευγενως	well-born, of noble race, of high descent	NULL
1233	ευγ	well, rightly	NULL
1234	ευγνωμονως	of good feeling, kindhearted, considerate, reasonable, indulgent	NULL
1235	ευδαιμονικως	conducive to happiness	NULL
1236	ευδαιμονως	blessed with a good genius;	NULL
1237	ευδηλως	quite clear, manifest	NULL
1238	ευδιαβολως	easy to misrepresent	NULL
1239	ευδοκιμωτερον	in good repute, honoured, famous, glorious	NULL
1240	ευδοξως	of good repute, honoured, famous, glorious	NULL
1241	ευεδροτερον	with beautiful seat, on stately throne	NULL
1242	ευεξαλειπτοτερον	easy to wipe out	NULL
1243	ευεπιθετως	easy to set upon	NULL
1244	ευζωροτερον	quite pure, unmixed	NULL
1245	ευηθως	good-hearted, open-hearted, simpleminded, guileless	NULL
1246	ευηθικως	good-natured	NULL
1247	ευηλιως	well-sunned, sunny, genial	NULL
1248	ευηνιως	obedient to the rein, tractable	NULL
1249	ευθαρσως	of good courage	NULL
1250	ευθετως	well-arranged	NULL
1251	ευθεως		NULL
1252	ευθικτως	touching the point, clever	NULL
1253	ευθυμως	bountiful, generous	NULL
1254	ιθεως	straight, direct	NULL
1255	ευθυ	straight	NULL
1256	ευκαιρως	well-timed, in season, seasonable	NULL
1257	ευκαρδιως	good of heart, stout-hearted	NULL
1258	ευκατεργαστοτερον	easy to work	NULL
1259	ευκερως	with beautiful horns	NULL
1260	ευκηλως	free from care, at one's ease	NULL
1261	ευκινητοτερον	easily moved	NULL
1262	ευκλεως	of good report, famous, glorious	NULL
1263	ευκολως	easily satisfied, contented with one's food	NULL
1264	ευκοπωτερον	with easy labour, easy	NULL
1265	ευκοσμως	behaving well, orderly, decorous	NULL
1266	ευκρᾰτως	well-mixed, temperate	NULL
1267	ευκρινως	well-separated	NULL
1268	ευκροτητως	well-hammered, well-wrought	NULL
1269	ευκταιως	of	NULL
1270	ευλαβως	taking hold well, holding fast: —	NULL
1271	ευληπτοτατα	easily taken hold of	NULL
1272	ευλογιστοτατα	rightly reckoning, thoughtful	NULL
1273	ευλογως	having good reason, reasonable, sensible	NULL
1274	ευλοφως	well-plumed	NULL
1275	ευμαθως	ready	NULL
1276	ευμαρως	easy, convenient, without trouble	NULL
1277	ευμενως	well-disposed, favourable, gracious, kindly	NULL
1278	ευμεταχειριστοτερον	easy to handle	NULL
1279	ευμηχανως	skilful in contriving, ingenious, inventive	NULL
1280	ευμνημονεστερως	easy to remember	NULL
1281	ευμοιρως	blest with possessions	NULL
1282	ευμορφοτατα	fair of form, comely, goodly	NULL
1283	ευνεως	well furnished with ships	NULL
1284	ευνηθεν	from	NULL
1285	ευνοικως	well-disposed, kindly, favourable	NULL
1286	ευνως	well-minded, well-disposed, kindly, friendly	NULL
1287	ευοργητως	good-tempered:—	NULL
1288	ευορκως	keeping one's oath, faithful to one's oath	NULL
1289	ευπειθως	ready to obey, obedient	NULL
1290	ευπειστοτερον	easily persuaded	NULL
1291	ευπετως	falling well;	NULL
1292	ευπιστως	trustworthy, trusty	NULL
1293	ευπορως	easy to pass	NULL
1294	ευπρακτοτερον	easy to be done	NULL
1295	ευπρεπως	well-looking, goodly, comely	NULL
1296	ευπροσοδωτατα	accessible, affable	NULL
1297	ευ	well	NULL
1298	ευραξ	on one side, sideways	NULL
1299	ευρετικωτερον	inventive, ingenious	NULL
1300	ευροπως	easily inclining, easy-sliding	NULL
1301	ευρως	flowing well	NULL
