	FPP	English	Sentiment
1164	αποπτυω	to spit out	NULL
1165	απορεγχω	to snore to the end	NULL
1166	απορεπω	to slink away	NULL
1167	απορω	to be without means	NULL
1168	απορθοω	to make straight, guide aright	NULL
1169	απορουω	to dart away	NULL
1170	απορραθυμεω	to neglect	NULL
1171	απορραινω	to spirt out, shed about	NULL
1172	απορραιω	to bereave	NULL
1173	απορραπτω	to sew up again	NULL
1174	απορραψωδεω	to speak in fragments of epic poetry	NULL
1175	απορρεζω	to offer some of	NULL
1176	απορεω	to flow	NULL
1177	απορρησσω	to break off, snap asunder	NULL
1178	απορρῑγεω	to shrink shivering from	NULL
1179	απορρῑναω	to file off	NULL
1180	αποριπτω	to throw away, put away	NULL
1181	απορροιβδεω	to shriek forth	NULL
1182	απορροφεω	to swallow some of	NULL
1183	απορρυπτω	to cleanse thoroughly	NULL
1184	απορφᾰνιζω	to be orphaned	NULL
1185	αποσᾰλευω	to lie in the open sea, to ride at anchor	NULL
1186	αποσᾰφεω	to make clear	NULL
1187	αποσβεννῡμι	to put out, extinguish, quench	NULL
1188	αποσειω	to shake off	NULL
1189	αποσεμνυνω	to make august, glorify	NULL
1190	αποσευω	to chase away	NULL
1191	αποσημαινω	to give notice by signs, give notice	NULL
1192	αποσῑμοω	to make flat-nosed	NULL
1193	αποσῐωπαω	to cease speaking, maintain silence	NULL
1194	αποσκαπτω	to intercept by trenches	NULL
1195	αποσκεδαννῡμι	to scatter abroad, disperse	NULL
1196	αποσκευαζω	to pull off	NULL
1197	αποσκηνεω	to encamp apart from	NULL
1198	αποσκηνοω	to keep apart from	NULL
1199	αποσκηπτω	to hurl from above	NULL
1200	αποσκιαζω	to cast a shadow	NULL
1201	αποσκιδνημι	to be dispersed	NULL
1202	αποσκοπεω	to look away from	NULL
1203	αποσκῠθιζω	to strip off the scalp in Scythian fashion	NULL
1204	αποσκῡλευω	to carry off as spoil from	NULL
1205	αποσκωπτω	to banter, rally	NULL
1206	αποσμαω	to wipe off dirt	NULL
1207	αποσμηχω		NULL
1208	αποσμῑκρυνω	to diminish	NULL
1209	αποσοβεω	to scare away	NULL
1210	αποσπαρασσω	to tear off	NULL
1211	αποσπαω	to tear	NULL
1212	αποσπενδω	to pour out wine	NULL
1213	αποσπευδω	to be zealous in preventing	NULL
1214	αποσποδεω	to wear quite off	NULL
1215	αποσταζω	to let fall drop by drop, distil	NULL
1216	αποστατω	to stand aloof from, depart from, be far from	NULL
1217	αποσταυροω	to fence off with a palisade	NULL
1218	αποστεγαζω	to uncover: to take off	NULL
1219	αποστεγω	to keep out	NULL
1220	αποστειχω	to go away, to go home	NULL
1221	αποστελλω	to send off	NULL
1222	αποστενω	to straiten, block up	NULL
1223	αποστεργω	to love no more	NULL
1224	αποστερω	to rob, despoil, bereave	NULL
1225	αποστερισκω		NULL
1226	αποστιλβω	to make to shine	NULL
1227	αποστιλβω	to be bright from	NULL
1228	αποστλεγγιζω	to scrape with a strigil	NULL
1229	αποστομᾰτιζω	to dictate by word of mouth, teach by dictation	NULL
1230	αποστρεφω	to turn	NULL
1231	αποστυγω	to hate violently, abhor, loathe	NULL
1232	αποστῠφελιζω	to drive away by force from	NULL
1233	αποστυφω	to draw up, contract	NULL
1234	αποσῡκαζω	to squeeze figs	NULL
1235	αποσυλω	to strip off spoils from	NULL
1236	αποσῡριζω	to whistle aloud	NULL
1237	αποσυρω	to tear away	NULL
1238	αποσφαζω	to cut the throat of	NULL
1239	αποσφᾰκελιζω	to have the limbs frost-bitten	NULL
1240	αποσφαλλω	to lead astray, drive away	NULL
1241	αποσφιγγω	to compress	NULL
1242	αποσφρᾱγιζω	to seal up	NULL
1243	αποσχιζω	to split	NULL
1244	αποσχοινιζω	to separate by a cord	NULL
1245	αποτασσω	to set apart, assign specially	NULL
1246	αποταφρευω	to fence off with a ditch	NULL
1247	αποτεινω	to stretch out, extend	NULL
1248	αποτειχιζω	to wall off	NULL
1249	αποτελευταω	to end	NULL
1250	αποτελω	to bring quite to an end, complete	NULL
1251	αποτεμνω	to cut off, sever	NULL
1252	αποτῐθημι	to put away, stow away	NULL
1253	αποτιλλω	to pluck	NULL
1254	αποτῑμαω	to put away from honour, to dishonour, slight	NULL
1255	αποτινασσω	to shake off	NULL
1256	αποτῑνω	to pay back, repay, return	NULL
1257	αποτμηγω	to cut off from	NULL
1258	αποτολμαω	to make a bold venture	NULL
1259	αποτοξευω	to shoot off arrows	NULL
1260	αποτρεπω	to turn	NULL
1261	αποτρεχω	to run off	NULL
1262	αποτριβω	to wear out	NULL
1263	αποτρυχω		NULL
1264	αποτρῡω	to rub away, wear out	NULL
1265	αποτρωγω	to bite	NULL
1266	αποτρωπαω		NULL
1267	αποτυγχανω	to fail in hitting	NULL
1268	αποτυμπᾰνιζω	to cudgel to death, bastinado	NULL
1269	αποτῠποω	to stamp an impression	NULL
1270	αποτυπτω	to cease to beat oneself, to cease mourning	NULL
1271	απουριζω	will mark off	NULL
1272	αποφαιδρυνω	to cleanse off	NULL
1273	αποφαινω	to shew fort, display, produce	NULL
1274	αποφασκω	to deny	NULL
1275	αποφερω	to carry off	NULL
1276	αποφευγω	to flee from, escape	NULL
1277	αποφημι	to speak out, declare flatly	NULL
1278	αποφθειρω	to destroy utterly, ruin	NULL
1279	αποφθῐνυθω	to perish	NULL
1280	αποφθινω	to perish utterly, die away	NULL
1281	αποφλαυριζω	to treat slightingly, make no account of	NULL
1282	αποφοιταω	to cease to go to school	NULL
1283	αποφυγγανω		NULL
1284	αποφῡσαω	to blow away	NULL
1285	αποχαλα	to slack away	NULL
1286	αποχᾰλῑνοω	to unbridle	NULL
1287	αποχαλκευω	to forge of copper	NULL
1288	αποχαλκιζω	to strip of brass	NULL
1289	αποχᾰρᾰκοω		NULL
1290	αποχειροτονω	to vote a charge away from	NULL
1291	αποχεω	to pour out	NULL
1292	αποχραινω	to soften away the colour, shade off	NULL
1293	αποχριω	to suffice, be sufficient, be enough	NULL
1294	αποχῠροω	to secure by fortifications	NULL
1295	αποχωλευω	to make quite lame	NULL
1296	αποχωννῡμι	to bank up	NULL
1297	αποχωρω	to go from	NULL
1298	αποχωριζω	to part	NULL
1299	αποψω	to wipe off	NULL
1300	αποψῑλοω	to strip bare	NULL
1301	αποψυχω	to leave off breathing, to faint, swoon	NULL
1302	απρακτεω	to do nothing	NULL
1303	απτω	to fasten, bind fast	NULL
1304	απωθω	to thrust away, push back	NULL
1305	ᾰρᾰβεω	to rattle, ring, clash	NULL
1306	αρᾰρισκω	to join, join together, fasten	NULL
1307	ραττω	to strike hard, smite	NULL
1308	αργω	to lie idle, be unemployed, do nothing	NULL
1309	αργολιζω	to take part with the Argives	NULL
1310	αργῠρευω	to dig for silver	NULL
1311	αργῠρολογεω	to levy money	NULL
1312	αρδευω	to water	NULL
1313	αρδω	to water	NULL
1314	αρεσκω	to make good, make up	NULL
1315	αρετ	to be fit	NULL
1316	ᾰρηγω	to help, aid, succour	NULL
1317	αρθμεω	to be united	NULL
1318	αρθροω	to fasten by a joint	NULL
1319	αριθμω	to number, count	NULL
1320	αριστ	to take breakfast	NULL
1321	αριστευω	to be best	NULL
1322	ᾱριστιζω	to give one breakfast	NULL
1323	αριστοποιεω	prepared for breakfast	NULL
1324	αρκω	to ward off, keep off	NULL
1325	αρμᾰτευω	to drive	NULL
1326	αρμᾰτηλᾰτεω	to go in a chariot, drive it	NULL
1327	αρμᾰτοτροφεω	to keep chariot-horses	NULL
1328	αρμοζω	to fit together, join	NULL
1329	αρμολογεω	to join, pile together	NULL
1330	αρνευω	to butt like a ram, to dive	NULL
1331	αροτρια		NULL
1332	αροτροφορεω	to draw the plough	NULL
1333	ᾱρω	to plough	NULL
1334	αρπᾰζω	to snatch away, carry off	NULL
1335	αρπᾰλιζω	to catch up, be eager to receive	NULL
1336	αρρηφορεω	to serve as	NULL
1337	αρρυθμεω	not to be in rhythm with	NULL
1338	αρρωδεω		NULL
1339	αρρωστεω	to be weak and sickly	NULL
1340	αρτᾰμεω	to cut in pieces, rend asunder	NULL
1341	αρτ	to fasten to	NULL
1342	αρτῐαζω	to play at odd and even	NULL
1343	αρτιζω	to get ready, prepare	NULL
1344	αρτοσῑτεω	to eat wheaten bread	NULL
1345	αρτοφᾰγεω	to eat bread	NULL
1346	αρτῡνω	to arrange, prepare, devise	NULL
1347	αρτῡω	to arrange, devise, prepare	NULL
1348	ωρυω	to draw	NULL
1349	αρχαιολογεω	to discuss antiquities	NULL
1350	αρχαιρεσιαζω	to hold the assembly for the election of magistrates	NULL
1351	αρχευω	to command	NULL
1352	αρχηγετευω	to be chief leader	NULL
1353	αρχηγετεω	to make a beginning	NULL
1354	αρχιθεωρεω	to be	NULL
1355	αρχιτεκτονεω	to be the architect	NULL
1356	αρχω	to be first	NULL
1357	ασεβω	to be impious, to act profanely, sin against the gods	NULL
1358	ασελγαινω	to behave licentiously	NULL
1359	ασεπτεω		NULL
1360	ασθενω	to be weak, feeble, sickly	NULL
1361	ασθενω	to weaken	NULL
1362	ασθμαινω	to breathe hard, gasp for breath	NULL
1363	ασῑτεω	to abstain from food, fast	NULL
1364	ασκω	to work curiously, form by art, fashion	NULL
1365	ασκωλιαζω	to dance as at the	NULL
1366	ασμενιζω	to be well-pleased	NULL
1367	ασπαιρω	to pant, gasp, struggle convulsively	NULL
1368	αστᾰτεω	to be unstable	NULL
1369	αστοχεω	to miss the mark, to miss, fail	NULL
1370	αστρᾰγαλιζω	to play with	NULL
1371	αστρᾰπηφορεω	to carry lightnings	NULL
1372	αστραπτω	to lighten, hurl lightnings	NULL
1373	αστρονομεω	to study astronomy	NULL
1374	αστυνομεω	to be	NULL
1375	ασφᾰρᾰγεω	to resound, clang	NULL
1376	ασχαλα	to be distressed, grieved	NULL
1377	ασχαλλω	to be vexed at	NULL
1378	ασχημονεω	to behave unseemly, disgrace oneself, to be put to shame	NULL
1379	ασχολεω	to engage, occupy	NULL
1380	ατακτεω	to be undisciplined, disorderly	NULL
1381	ᾰταλλω	to skip in childish glee, gambol	NULL
1382	ατεκνοω	to make childless	NULL
1383	ατεμβω	to maltreat, to afflict, perplex	NULL
1384	ατενιζω	to look intently, gaze earnestly	NULL
1385	ατευκτεω	to fail in gaining	NULL
1386	ατιω	not to honour, to hold in no honour	NULL
1387	ατῑμᾰγελεω	to forsake the herd	NULL
1388	ατῑμαζω	to hold in no honour, to esteem lightly, dishonour, slight	NULL
1389	ατιμ	to dishonour, treat lightly	NULL
1390	ατῑμοω	to dishonour	NULL
1391	ᾰτῐταλλω	to rear up	NULL
1392	ατλητεω	to be unable to bear	NULL
1393	ατμιζω	to smoke	NULL
1394	ατονεω	to be relaxed, exhausted	NULL
1395	ατρεμεω	not to tremble, to keep still	NULL
1396	ατρεμιζω	to keep quiet	NULL
1397	ατροφεω	to pine away, suffer from atrophy	NULL
1398	αττῐκιζω	to side with the Athenians	NULL
1399	ατυζω	to be distraught from fear, mazed, bewildered	NULL
1400	ατυχω	to be unlucky	NULL
1401	αυαινω	to dry	NULL
1402	αυγαζω	to view in the clearest light, see distinctly, discern	NULL
1403	αυδαζω	to cry out, speak	NULL
1404	αυδω	to utter sounds, speak	NULL
1405	αυερυω	to draw back	NULL
1406	αυθεντεω	to have full power over	NULL
1407	αυλεω	to play on the flute	NULL
1408	διαυλιζω	to lie in the court-yard	NULL
1409	αυλοθετεω	to make flutes	NULL
1410	αυξω	to make large, increase, augment	NULL
1411	αυτω	to cry	NULL
1412	αυτογνωμονεω	to act of one's own judgment	NULL
1413	αυτοκτονεω	to slay one another	NULL
1414	αυτομᾰτιζω	to act of oneself, act unadvisedly	NULL
1415	αυτομολεω	to desert	NULL
1416	αυτοσχεδιαζω	to act	NULL
1417	αυτοτροπεω	to turn straightway	NULL
1418	αυτουργεω	to work with one's own hand	NULL
1419	αυχενιζω	to cut the throat of	NULL
1420	αυχω	to boast, plume oneself	NULL
1421	αυχμεω	to be squalid	NULL
1422	αυω	to burn, light a fire, get a light	NULL
1423	αυω	to shout out, shout, call aloud	NULL
1424	απαγνιζω	to purify	NULL
1425	απαιρω	to take from, take away from	NULL
1426	αφᾰμαρτανω	to miss	NULL
1427	αφανδανω	to displease, not to please	NULL
1428	αφᾰνιζω	to make unseen, hide from sight	NULL
1429	αφαρπαζω	to tear off	NULL
1430	αφασσω	to handle, feel	NULL
1431	αφαυω	to dry up, parch	NULL
1432	αφα	to handle, rub, polish	NULL
1433	αφειδεω	to be unsparing	NULL
1434	απελκω	to drag away	NULL
1435	αφερμηνευω	to interpret, expound	NULL
1436	αφερπω	to creep off, steal away, retire	NULL
1437	αφιστημι	I shall be absent, away from	NULL
1438	απευω	to singe off	NULL
1439	απεψω	to refine by boiling off	NULL
1440	αφηδυνω	to sweeten	NULL
1441	αφηκω	to arrive at	NULL
1442	αφιδρυω	to remove to another settlement	NULL
1443	αφῐεροω	to purify, hallow	NULL
1444	αφιημ	to send forth, discharge	NULL
1445	αφῐκανω	to arrive at, to have come to	NULL
1446	αφιππευω	to ride off, away	NULL
1447	αφομοιοω	to make like	NULL
1448	αφοπλιζω	to strip of arms	NULL
1449	απορ	to look away from	NULL
1450	αφοριζω	to mark off by boundaries	NULL
1451	αφορμαω	to make to start from	NULL
1452	αφοσιω	to purify from guilt	NULL
1453	αφρᾰδεω	to be senseless, act thoughtlessly	NULL
1454	αφραινω	to be silly, senseless	NULL
1455	αφρω	to befoam, cover with foam	NULL
1456	αφριζω	to foam	NULL
1457	αφροδισιαζω	to indulge lust	NULL
1458	αφρονεω	to be silly, act foolishly	NULL
1459	αφροντιστεω	to have no care of, pay no heed to	NULL
1460	αφυβριζω	to give loose	NULL
1461	αφυδραινω	to wash clean from	NULL
1462	αφῠλακτεω	to bark out	NULL
1463	αφῠλακτεω	to be off one's guard	NULL
1464	αφῡλιζω	to strain off	NULL
1465	αφυπνιζω	to wake one from sleep	NULL
1466	αφυπνοω	to wake from sleep	NULL
1467	αναφυω	to draw	NULL
1468	αχαλκεω	to be penniless	NULL
1469	αχᾰριστεω	to be thankless, shew ingratitude	NULL
1470	ακᾰχιζω	grieving, sorrowing, mourning	NULL
1471	αχθιζω	to load	NULL
1472	αχθοφορεω	to bear burdens	NULL
1473	αχλυω	to be	NULL
1474	αψευδεω	not to lie, to speak truth	NULL
1475	αψιμᾰχεω	to skirmish with an enemy, lead on to fight	NULL
1476	αωτεω	to sleep	NULL
1477	βᾰδιζω	to go slowly, to walk	NULL
1478	βαζω	to speak, say	NULL
1479	βᾰθυνω	to deepen, hollow out	NULL
1480	βαινω	to walk, step	NULL
1481	βᾰκιζω	to prophesy like Bacis	NULL
1482	βακτρευω	to lean on a staff	NULL
1483	βακχα	to be in Bacchic frenzy, to rave	NULL
1484	βακχευω	to keep the feast of Bacchus, celebrate his mysteries	NULL
1485	βακχιαζω		NULL
1486	βᾰλᾰνευω	to wait upon	NULL
1487	βᾰλᾰνιζω	to shake acorns from	NULL
1488	βᾰλᾰνοω	to fasten with a bolt-pin	NULL
1489	βαλλαντιοτομεω	to cut purses	NULL
1490	βαλλω	to throw	NULL
1491	βαμβαινω	to chatter with the teeth	NULL
1492	βαπτιζω	to dip in	NULL
1493	βαπτω	to dip in water	NULL
1494	βαρβᾰριζω	to behave like a barbarian, speak like one	NULL
1495	βαρβᾰροω	to become barbarous	NULL
1496	βαρεω	to weigh down, depress	NULL
1497	βᾰρῠδαιμονεω	to be grievously unlucky	NULL
1498	βᾰρυθῡμεω	to be weighed down: to be heavy at heart	NULL
1499	βᾰρυθω	to be weighed down	NULL
1500	βαρῡνω	to weigh down, oppress by weight, depress	NULL
1501	βᾰσᾰνιζω	to rub	NULL
1502	βᾰσῐλευω	to be king, to rule, reign	NULL
1503	βᾰσῐλιζω	to be of the king's party	NULL
1504	βασκαινω	to slander, malign, belie, disparage	NULL
1505	βασταζω	to lift, lift up, raise	NULL
1506	βατω	to tread, cover	NULL
1507	βαττᾰριζω	to stutter	NULL
1508	βαττολογεω	to speak stammeringly, say the same thing over and over again	NULL
1509	βᾰυζω	to cry	NULL
1510	βδαλλω	to milk	NULL
1511	βδεω	to break wind	NULL
1512	βδυλλω	to be afraid of	NULL
1513	βεβαιω	to make firm, confirm, establish, secure, warrant, make good	NULL
1514	βεβηλοω	to profane	NULL
1515	βεμβῑκιαω	to spin like a top	NULL
1516	βεμβῑκιζω	to set a spinning	NULL
1517	βηττω	to cough	NULL
1518	βῐαζω	to constrain	NULL
1519	βῐα	to constrain	NULL
1520	βιβαζω	to make to mount, to lift up, exalt	NULL
1521	βιβασθω	striding	NULL
1522	βιβω	to stride	NULL
1523	βιβρωσκω	to eat, eat up	NULL
1524	βῑνεω	coire	NULL
1525	βῐοτευω	to live	NULL
1526	βιω	to live, pass one's life	NULL
1527	βλᾱκευω	to be slack, lazy	NULL
1528	βλαπτω	to disable, hinder, stop	NULL
1529	βλαστανω	to bud, sprout, grow	NULL
1530	βλασφημεω	to drop evil	NULL
1531	βλεμεαινω	to look fiercely, glare around	NULL
1532	βλεπω	to see, have the power of sight	NULL
1533	βλιττω	to cut out the comb of bees, take the honey	NULL
1534	βλυζω	gush forth	NULL
1535	βλωσκω	to go	NULL
1536	βοω	to cry aloud, to shout	NULL
1537	βοηδρομεω	to run to a cry for aid, haste to help	NULL
1538	βωθεω	to come to aid, to succour, assist, aid	NULL
1539	βοιωταρχεω	to be a Boeotarch	NULL
1540	βοιωτιαζω	to play the Boeotian, speak Boeotian, side with the Boeotians	NULL
1541	βολιζω	to heave the lead, take soundings	NULL
1542	βομβω	to make a booming, humming noise, to sound deep	NULL
1543	βοσκω	to feed, tend	NULL
1544	βουβωνιω	to suffer from swellings in the groin	NULL
1545	βουθῠτεω	to slay	NULL
1546	βουκολεω	to tend cattle	NULL
1547	βουλαρχεω	to be a	NULL
1548	βουλευω	to take counsel, deliberate, concert measures	NULL
1549	βουλῑμια	to suffer from	NULL
1550	βουνοβᾰτεω	to walk the hills	NULL
1551	βουσφᾰγεω	to slaughter oxen	NULL
1552	βουφονεω	to slaughter oxen	NULL
1553	βουφορβεω	to tend cattle	NULL
1554	βοωτεω	to plough	NULL
1555	βρᾰβευω	to act as a judge	NULL
1556	βρᾰδυνω	to make slow, delay	NULL
1557	βρᾰδῠπλοεω	to sail slowly	NULL
1558	βραττω	to shake violently, throw up	NULL
1559	βρᾰχυνω	to shorten, to use as a short syllable	NULL
1560	βρεμω	to roar	NULL
1561	βρεχω	to be wetted, get wet	NULL
1562	βρια	to make	NULL
1563	βριζω	to be sleepy, to slumber, nod	NULL
1564	βρῑθω	to be heavy	NULL
1565	βριμω	to snort with anger, to be indignant	NULL
1566	βρομεω	to buzz	NULL
1567	βροντω	to thunder	NULL
1568	βροτοκτονεω	to murder men	NULL
1569	βρῡκω	to eat with much noise, to eat greedily	NULL
1570	βρυλλω	to cry for drink	NULL
1571	βρυω	to be full to bursting	NULL
1572	βῠθιζω	to sink	NULL
1573	βῡνω	to stuff	NULL
1574	βυρσοδεψεω	to dress	NULL
1575	βυσσοδομευω	to build in the deep	NULL
1576	βυω	to stuff	NULL
1577	βωστρεω	to call on	NULL
1578	γᾰληνιαω	to be calm	NULL
1579	γαμω	to marry	NULL
1580	γᾰμιζω	to give in marriage	NULL
1581	γανα	to shine, glitter, gleam	NULL
1582	γᾰνοω	to make bright	NULL
1583	γαργᾰλιζω	to tickle	NULL
1584	γαστριζω	to punch	NULL
1585	γαστροφορεω	to bear in the belly	NULL
1586	γαυριω	to bear oneself proudly, prance	NULL
1587	γδουπεω		NULL
1588	γεγωνω	to tell out, proclaim	NULL
1589	γεγωνισκω	to cry aloud	NULL
1590	γειτνια	to be a neighbour, to border on	NULL
1591	γειτονεω		NULL
1592	γελᾰσειω	to be like to laugh, ready to laugh	NULL
1593	γελᾰσκω		NULL
1594	γελω	to laugh	NULL
1595	γελοιομελεω	to write comic songs	NULL
1596	γελωτοποιεω	to create, make laughter	NULL
1597	γεμιζω	to fill full of, to load	NULL
1598	γεμω	to be full	NULL
1599	γενεᾱλογεω	to trace by way of pedigree	NULL
1600	γενειαζω		NULL
1601	γενειασκω	to begin to get a beard	NULL
1602	γενει	to grow a beard, get a beard	NULL
1603	γεννω	to beget, engender	NULL
1604	γεραιρω	to honour	NULL
1605	γεροντᾰγωγεω	to guide an old man	NULL
1606	γευω	to give a taste of	NULL
1607	γεφῡριζω	to abuse from the bridge	NULL
1608	γεφῡροω	to bridge over, make passable by a bridge	NULL
1609	γεωμετρεω	to measure the earth, to practise	NULL
1610	γεωπονεω	to till the ground	NULL
1611	γεωργω	to be a husbandman, farmer	NULL
1612	γεωρῠχεω	to dig in the earth, dig a mine	NULL
1613	γηθω	to rejoice	NULL
1614	γηοχεω	to possess land	NULL
1615	γηρα	to grow old, become old	NULL
1616	γηροβοσκω	to feed	NULL
1617	γηροτροφεω		NULL
1618	γηρῡω	to sing	NULL
1619	γῑνωσκω	to learn to know, to perceive, mark, learn	NULL
1620	γλᾰγαω	to be milky, juicy	NULL
1621	γλαυκια	glaring fiercely	NULL
1622	γλαφω	to scrape up	NULL
1623	γλῠκαινω	to sweeten	NULL
1624	γλῠκυμῡθεω	to speak sweetly.	NULL
1625	γλυφω	to carve, cut out with a knife	NULL
1626	γναμπτω	to bend	NULL
1627	γνωμᾰτευω	to form a judgment of, discern	NULL
1628	γνωμολογεω	to speak in maxims	NULL
1629	γνωριζω	to make known, point out, explain	NULL
1630	γνωσῐμᾰχεω	to fight with	NULL
1631	γοοω	to wail, groan, weep	NULL
1632	γογγυζω	to mutter, murmur	NULL
1633	γοητευω	to bewitch, beguile	NULL
1634	γομοω	to load	NULL
1635	γομφοω	to fasten with bolts	NULL
1636	γονῠπετεω	to fall on the knee, to fall down before	NULL
1637	γραμμᾰτευω	to be secretary	NULL
1638	γραμμᾰτοφορεω	to carry	NULL
1639	γραφω	to scratch, scrape, graze	NULL
1640	γρηγορεω	to be awake	NULL
1641	γρυζω	to say	NULL
1642	γρῡλιζω	to grunt	NULL
1643	γυιοω	to lame	NULL
1644	γυμναζω	to train naked, train in gymnastic exercise	NULL
1645	γυμνᾰσιαρχεω	to be gymnasiarch	NULL
1646	γυμνητευω	to be light-armed	NULL
1647	γυμνιτευω	to be naked	NULL
1648	γυμνοω	to strip naked	NULL
1649	γῡρευω	to run round in a circle	NULL
1650	γυψοω	to rub with chalk, chalk over	NULL
1651	δαδουχεω	to hold the office of	NULL
1652	δαδοφορεω	to carry torches	NULL
1653	δαιδᾰλοω	to work cunningly, deck	NULL
1654	δαιζω	to cleave asunder, cleave	NULL
1655	δαιμον	to be under the power of a	NULL
1656	δαινῡμι	to divide	NULL
1657	δαιτρευω	to cut up	NULL
1658	δαιω	to light up, make to burn, kindle	NULL
1659	δαιω	to divide	NULL
1660	δακνω	to bite	NULL
1661	δακρυπλωω	to swim with tears	NULL
1662	δακρυρροεω	to melt into tears, shed tears	NULL
1663	δακρῡω	to weep, shed tears	NULL
1664	δακτῠλοδεικτεω	to point at with the finger	NULL
1665	δᾰμαζω	to overpower	NULL
1666	δᾰμᾰλιζω	to subdue, break in	NULL
1667	δαμνω		NULL
1668	δαμνημ		NULL
1669	δανιζω	to put out money at usury, to lend	NULL
1670	δᾰπᾰνα	to spend	NULL
1671	δαπτω	to devour	NULL
1672	δαρδαπτω	they devour	NULL
1673	δαρθανω	to sleep	NULL
1674	δασμολογεω	to collect as tribute	NULL
1675	δασμοφορεω	to be subject to tribute	NULL
1676	δαφνηφορεω	to bear a laurel crown	NULL
1677	δειγμᾰτιζω	to make a show of	NULL
1678	δειδω	to fear	NULL
1679	δειελιαω	to wait till evening	NULL
1680	δεικανα	to point out, shew	NULL
1681	δεικνυω	to bring to light, display, exhibit	NULL
1682	δειλαινω	to be a coward	NULL
1683	δειλια	to be afraid	NULL
1684	δειμαινω	to be afraid, in a fright	NULL
1685	δειμᾰτοω	to frighten	NULL
1686	δεινοπᾰθεω	to complain loudly of sufferings	NULL
1687	δεινω	to make terrible: to exaggerate	NULL
1688	δειπνεω	to make a meal	NULL
1689	δειπνιζω	to entertain at dinner	NULL
1690	δειπνοποιεω	to give a dinner	NULL
1691	δεω	to bind	NULL
1692	δειροτομεω	to cut the throat	NULL
1693	δεκαζω	to bribe	NULL
1694	δεκατευω	to exact the tenth part from	NULL
1695	δεκατω	to take tithe of	NULL
1696	δελεαζω	to entice	NULL
1697	δεμω	to build	NULL
1698	δενδιλλω	to turn the eyes	NULL
1699	δενδροβᾰτεω	to climb trees	NULL
1700	δενδροκοπεω	to cut down trees	NULL
1701	δενδροτομεω	to lay waste a country	NULL
1702	δενναζω	to abuse, revile	NULL
1703	δερω	to skin, flay	NULL
1704	δεσμοω	to fetter, put in chains	NULL
1705	δεσποζω	to be lord	NULL
1706	δεσποτεω	to be despotically ruled	NULL
1707	δευτερευω	to be second	NULL
1708	δεφω	to soften	NULL
1709	δεψω	to work	NULL
1710	δεω	to bind, tie, fetter	NULL
1711	δεω	to lack, miss, stand in need of	NULL
1712	δηθυνω	to tarry, be long, delay	NULL
1713	δηω	to cut down, slay	NULL
1714	δηλοποιεω	to make clear	NULL
1715	δηλω	to make visible	NULL
1716	δημᾰγωγεω	to lead the people	NULL
1717	δημαρχεω	to be demarch	NULL
1718	δημευω	to declare public property, to confiscate	NULL
1719	δημηγορεω	to speak in the assembly	NULL
1720	δημιζω	to affect popularity, cheat the people	NULL
1721	δημιουργεω	to practise a trade, do work	NULL
1722	δημοκοπεω	to curry mob-favour	NULL
1723	δημολογεω		NULL
1724	δημοσθενιζω	to imitate Demosthenes	NULL
1725	δημοσιευω	to confiscate	NULL
1726	δημοσιω	to confiscate	NULL
1727	δηρῐαω	to contend, wrangle	NULL
1728	δηω	to find, meet with	NULL
1729	διαβαινω	to make a stride, walk	NULL
1730	διαβαλλω	to throw over	NULL
1731	διαβασκω	to strut about	NULL
1732	διαβασταζω	to weigh in the hand, estimate	NULL
1733	διαβεβαιοω	to maintain strongly	NULL
1734	διαβῐβαζω	to carry over	NULL
1735	διαβιβρωσκω	to eat up	NULL
1736	διαβιω	to live through, pass	NULL
1737	διαβλεπω	to look straight before one	NULL
1738	διαβοαω	to shout out, proclaim, publish	NULL
1739	διαβουκολεω	to cheat with false hopes	NULL
1740	διαβουλευω	to discuss pro and con, discuss thoroughly	NULL
1741	διαβρεχω	to wet through, soak	NULL
1742	διαβυνω	to thrust through so as to stop up	NULL
1743	διαγᾰληνιζω	to make quite calm	NULL
1744	διᾰγᾰνακτεω	to be full of indignation	NULL
1745	διαγγελλω	to give notice by a messenger, to send as a message	NULL
1746	διαγελαω	to laugh at	NULL
1747	διαγῑνωσκω	to distinguish, discern	NULL
1748	διαγλαφω	to scoop out	NULL
1749	διαγλυφω	to carve in intaglio	NULL
1750	διαγνωριζω	to make known	NULL
1751	διαγογγυζω	to murmur among themselves	NULL
1752	διαγορευω	to speak plainly, declare	NULL
1753	διαγρᾰφω	to mark out by lines, delineate	NULL
1754	διαγριαινω		NULL
1755	διαγρυπνεω	to lie awake	NULL
1756	διαγχω		NULL
1757	διαγω	to carry over	NULL
1758	διαδαπτω	to tear asunder, rend	NULL
1759	διαδεικνῡμι	to shew clearly, shew plainly	NULL
1760	διαδω	to bind round	NULL
1761	διαδηλοω	to make manifest	NULL
1762	διαδιδρησκω	to run off, get away, escape	NULL
1763	διαδιδωμι	to give from hand to hand, to pass on, hand over	NULL
1764	διαδῐκαζω	to give judgment in a case	NULL
1765	διαδῐκαιοω	to hold	NULL
1766	διαδιφρευω	to drive	NULL
1767	διαδοκῐμαζω	to test closely	NULL
1768	διαπρηστευω	to run off, go over to	NULL
1769	διαδυω	to slip through	NULL
1770	διαδω	to contend in singing	NULL
1771	διαζω	to live through, pass	NULL
